NORAD_CAT_ID,SATNAME,EPOCH,Orb,Inc,Ecc,MnM,ApA,PeA,AvA,LAN,AgP,MnA,SMa,T,Vel
87423,TBA - TO BE ASSIGNED,2020-11-07T16:12:50.944032,28337.0,98.8294,0.0056904,14.8644457,648.8152099669924,569.2953719420975,609.055290954545,290.1035,103.6136,257.1423,6987.192290954545,5812.527540128851,7552.966181729405
87426,TBA - TO BE ASSIGNED,2020-11-07T14:09:09.925344,35860.0,65.8074,0.0083179,14.13086088,908.9435669030863,788.7171830464813,848.8303749747838,247.4784,192.8822,340.0007,7226.9673749747835,6114.277164973397,7426.613809075714
87433,TBA - TO BE ASSIGNED,2020-11-05T08:11:18.699360,18348.0,100.2656,0.0042074,13.35460919,1157.80943979754,1094.6616457247137,1126.235542761127,76.7137,44.2745,316.1733,7504.372542761126,6469.676406906511,7288.055898737615
87448,TBA - TO BE ASSIGNED,2020-11-07T08:27:08.308800,35132.0,100.4444,0.0068787,13.83801593,1000.8448852116271,900.0228046694428,950.433844940535,278.3358,313.1826,46.359,7328.570844940535,6243.669644337509,7374.952756719858
87455,TBA - TO BE ASSIGNED,2020-11-07T18:13:11.489664,23222.0,63.381,0.2978123,9.41025087,5921.140288319723,276.4472035458175,3098.7937459327704,330.5294,251.1684,74.6257,9476.93074593277,9181.476795208955,6485.374123155757
87456,TBA - TO BE ASSIGNED,2020-11-07T10:31:13.631808,35183.0,65.7913,0.0629464,13.85805161,1404.2308917078017,482.50606671456535,943.3684792111835,209.8124,223.3215,131.6711,7321.505479211183,6234.642677882181,7378.510370227159
87468,TBA - TO BE ASSIGNED,2020-11-05T20:04:10.234848,20328.0,74.0161,0.0069879,14.81074291,674.8789259458945,576.9914141120043,625.9351700289494,347.0748,226.313,133.2245,7004.07217002895,5833.603386745971,7543.859332147575
87491,TBA - TO BE ASSIGNED,2020-11-07T09:27:35.823168,31140.0,98.6516,0.0073448,14.50582222,775.9094650840507,671.5856218940135,723.7475434890321,7.5299,97.4207,263.534,7101.884543489032,5956.229070619334,7491.729429455298
87501,TBA - TO BE ASSIGNED,2020-11-03T18:27:07.370784,19894.0,74.0354,0.0020876,14.40162173,772.8600084361951,743.0653650241593,757.9626867301772,103.9318,278.1186,81.7601,7136.0996867301765,5999.324355257862,7473.747716763457
87517,TBA - TO BE ASSIGNED,2020-11-07T13:30:14.154048,34153.0,65.8316,0.072314,13.45342841,1629.4531387958177,549.4320380792724,1089.442588437545,10.07,112.1021,322.7449,7467.579588437545,6422.154811912354,7305.988056101265
