 HQ AFSPC Sgp4Prop DLL - Version: v8.0 - Build: Nov 05 2020 - Platform: Windows 64-bit                                          


EPHEMERIS GENERATED BY SGP4 USING THE WGS-72 EARTH MODEL
COORDINATE FRAME=TRUE EQUATOR AND MEAN EQUINOX OF EPOCH
USING THE FK5 MEAN OF J2000 TIME AND REFERENCE FRAME

INPUT FILE = C:\Users\rober\Documents\MATLAB\ASTRAIOS\ASTRAIOS/historicTLE.txt
Start Time =         0.0000 min from epoch
Stop Time  =      1440.0000 min from epoch
Step size  =       360.0000 min


     EPOCH (MIN)     TSINCE (MIN)           X (KM)           Y (KM)           Z (KM)      XDOT (KM/S)       YDOT(KM/S)    ZDOT (KM/SEC)


     25949.9197601    38880.0000000     6619.7761738       18.2818521    -1552.2428714        1.3302592        4.8831058        5.7476342
     25950.9197601    40320.0000000    -6626.5604028      457.6237679     1436.2723380       -1.5897113       -4.7646486       -5.7863821
     25951.9197601    41760.0000000     6595.0227271     -957.1813951    -1347.8435793        1.8555511        4.6284304        5.8130259
     25952.2640708    42255.8073792    -1944.3111895     4055.2971410     5088.5757190       -7.3415506       -1.3004738       -1.7653420


 1 25544U 98067A   20356.22813647 +.00001084  00000 0  27636-4 0 0999                                                                                                                                                                                                                                                                                                                                                                                                                                                            
 2 25544  51.6445 142.9892 0001559 147.6764 270.1448 15.4920551526101                                                                                                                                                                                                                                                                                                                                                                                                                                                            

     25923.2281365        0.0000000    -5040.1478194     -666.2236839     4503.1249595        3.6537338       -5.9258163        3.2025837
     25924.2281365     1440.0000000     5038.7104144      322.3812758    -4557.0713393       -3.2133584        6.2050100       -3.1179449
     25925.2281365     2880.0000000    -5011.0075351       43.2030624     4583.9172514        2.7460085       -6.4697145        3.0531831
     25926.2281365     4320.0000000     4961.9847494     -374.1288596    -4636.4846739       -2.2639167        6.6804174       -2.9656020
     25927.2281365     5760.0000000    -4884.6827996      722.2532118     4662.8181958        1.7580396       -6.8726795        2.8971294
     25928.2281365     7200.0000000     4792.4938328    -1034.0286301    -4713.7961588       -1.2449707        7.0085484       -2.8066156
     25929.2281365     8640.0000000    -4670.7344988     1358.2850799     4739.4348760        0.7119332       -7.1226646        2.7343561
     25930.2281365    10080.0000000     4540.5328790    -1645.8118473    -4788.6116713       -0.1796435        7.1790486       -2.6409291
     25931.2281365    11520.0000000    -4380.2048383     1941.0356263     4813.3588513       -0.3682952       -7.2111127        2.5648163
     25932.2281365    12960.0000000     4217.6186330    -2200.4171975    -4860.5220889        0.9073002        7.1852313       -2.4685062
     25933.2281365    14400.0000000    -4025.0827796     2462.7544703     4884.1666240       -1.4572734       -7.1332883        2.3884844
     25934.2281365    15840.0000000     3835.9542672    -2691.3062483    -4929.1037229        1.9900409        7.0243674       -2.2893326
     25935.2281365    17280.0000000    -3617.7676265     2918.2239423     4951.4202336       -2.5288903       -6.8885219        2.2053584
     25936.2281365    18720.0000000     3407.9041238    -3114.4293665    -4993.9188811        3.0423503        6.6978802       -2.1034181
     25937.2281365    20160.0000000    -3170.5544030     3304.6685349     5014.6679884       -3.5569633       -6.4803533        2.0154615
     25938.2281365    21600.0000000     2945.5012662    -3468.0853183    -5054.5165701        4.0382786        6.2114321       -1.9107988
     25939.2281365    23040.0000000    -2695.1634662     3621.5619695     5073.4453417       -4.5159402       -5.9165605        1.8188444
     25940.2281365    24480.0000000     2460.0091139    -3752.6849894    -5110.4333461        4.9528663        5.5748924       -1.7115388
     25941.2281365    25920.0000000    -2202.3346020     3870.3446410     5127.2759221       -5.3816144       -5.2090676        1.6155873
     25942.2281365    27360.0000000     1961.5557843    -3970.4339333    -5161.1943245        5.7628570        4.8021816       -1.5057323
     25943.2281365    28800.0000000    -1701.5027244     4054.0682378     5175.6727263       -6.1318315       -4.3737257        1.4058021
     25944.2281365    30240.0000000     1458.8562576    -4124.9521138    -5206.3143582        6.4473913        3.9109865       -1.2935057
     25945.2281365    31680.0000000    -1200.5683529     4176.9876665     5218.1394815       -6.7471634       -3.4299658        1.1896343
     25946.2281365    33120.0000000      959.0332257    -4220.8520884    -5245.2993932        6.9886538        2.9223498       -1.0750197
     25947.2281365    34560.0000000     -705.7714269     4244.1228581     5254.1721865       -7.2115257       -2.4003281        0.9672651
     25948.2281365    36000.0000000      467.5426645    -4263.2988181    -5277.6480103        7.3724521        1.8601402       -0.8504712
     25949.2281365    37440.0000000     -221.6719179     4260.8144707     5283.2608384       -7.5127136       -1.3098763        0.7389136
     25950.2281365    38880.0000000      -11.7950217    -4257.5751711    -5302.8531614        7.5887021        0.7504145       -0.6200954
     25951.2281365    40320.0000000      248.7646531     4232.2978154     5304.8913512       -7.6428335       -0.1855117        0.5048387
     25952.2281365    41760.0000000     -476.6627702    -4208.6769349    -5320.4041084        7.6317978       -0.3793126       -0.3841678
     25952.2640708    41811.7454352    -1920.8838738     4059.3851212     5094.2198040       -7.3493706       -1.2841235       -1.7445836


 1 25544U 98067A   20356.29483582 +.00001091  00000 0  27757-4 0 0999                                                                                                                                                                                                                                                                                                                                                                                                                                                            
 2 25544  51.6442 142.6592 0001560 148.6375 281.4211 15.4920571726102                                                                                                                                                                                                                                                                                                                                                                                                                                                            

     25923.2948358        0.0000000    -4248.5268826    -1741.6369974     5002.6951509        4.7428792       -5.6586747        2.0512564
     25924.2948358     1440.0000000     4328.7673743     1457.7952909    -5040.0075049       -4.3049405        6.0122570       -1.9610547
     25925.2948358     2880.0000000    -4387.3332524    -1149.9610478     5053.6187058        3.8449618       -6.3546134        1.8858376
     25926.2948358     4320.0000000     4428.9295825      866.0329422    -5089.0302058       -3.3553060        6.6371648       -1.7931195
     25927.2948358     5760.0000000    -4446.3107481     -561.9660180     5101.4391155        2.8462478       -6.9050112        1.7143487
     25928.2948358     7200.0000000     4451.5872388      282.8369363    -5134.7448849       -2.3165638        7.1089449       -1.6191676
     25929.2948358     8640.0000000    -4430.7181980       12.2962597     5145.7577065        1.7707052       -7.2952170        1.5368176
     25930.2948358    10080.0000000     4402.5213702     -282.5360028    -5176.7535493       -1.2138284        7.4148886       -1.4392369
     25931.2948358    11520.0000000    -4346.8920922      564.4526452     5186.1641956        0.6444975       -7.5145696        1.3532949
     25932.2948358    12960.0000000     4288.3865275     -822.5379837    -5214.6472326       -0.0740848        7.5464629       -1.2533885
     25933.2948358    14400.0000000    -4201.8266674     1087.8745364     5222.2375139       -0.5046853       -7.5567510        1.1638556
     25934.2948358    15840.0000000     4116.2971397    -1331.3489419    -5248.0067847        1.0745142        7.4996083       -1.0617089
     25935.2948358    17280.0000000    -4002.7649400     1577.6486410     5253.5467667       -1.6483599       -7.4200253        0.9686017
     25936.2948358    18720.0000000     3893.4349883    -1804.8038569    -5276.4037978        2.2034044        7.2749164       -0.8643116
     25937.2948358    20160.0000000    -3756.8211927     2030.4586985     5279.6523365       -2.7580252       -7.1073521        0.7676629
     25938.2948358    21600.0000000     3626.6973133    -2240.2363648    -5299.4016766        3.2843996        6.8776771       -0.6613387
     25939.2948358    23040.0000000    -3470.6536294     2444.3885081     5300.1071359       -3.8059606       -6.6263651        0.5611995
     25940.2948358    24480.0000000     3322.4028165    -2636.2510106    -5316.5568622        4.2904901        6.3177868       -0.4529630
     25941.2948358    25920.0000000    -3150.2032069     2818.6604952     5314.4580175       -4.7660204       -5.9892100        0.3494033
     25942.2948358    27360.0000000     2986.0697423    -2992.4399213    -5327.4202165        5.1966264        5.6095162       -0.2393897
     25943.2948358    28800.0000000    -2800.5111412     3153.3273020     5322.2473462       -5.6144002       -5.2122406        0.1325002
     25944.2948358    30240.0000000     2622.2763911    -3309.0625006    -5331.5385758        5.9804598        4.7711374       -0.0208581
     25945.2948358    31680.0000000    -2425.6234058     3448.9363262     5323.0147411       -6.3303484       -4.3155784       -0.0892486
     25946.2948358    33120.0000000     2234.6100314    -3586.7086956    -5328.4564791        6.6230159        3.8244189        0.2023566
     25947.2948358    34560.0000000    -2028.5858656     3706.1886238     5316.2989912       -6.8967959       -3.3225448       -0.3155448
     25948.2948358    36000.0000000     1825.7053978    -3825.9673530    -5317.7180786        7.1092744        2.7939992        0.4299416
     25949.2948358    37440.0000000    -1611.5287389     3925.6140344     5301.6401497       -7.3008812       -2.2589790       -0.5460510
     25950.2948358    38880.0000000     1397.3690223    -4027.1210692    -5298.8692370        7.4286314        1.7066575        0.6615452
