 HQ AFSPC Sgp4Prop DLL - Version: v8.0 - Build: Nov 05 2020 - Platform: Windows 64-bit                                          


EPHEMERIS GENERATED BY SGP4 USING THE WGS-72 EARTH MODEL
COORDINATE FRAME=TRUE EQUATOR AND MEAN EQUINOX OF EPOCH
USING THE FK5 MEAN OF J2000 TIME AND REFERENCE FRAME

INPUT FILE = C:\Users\rober\Documents\MATLAB\ASTRAIOS\ASTRAIOS/historicTLE.txt
Start Time =         0.0000 min from epoch
Stop Time  =      1440.0000 min from epoch
Step size  =       360.0000 min


     EPOCH (MIN)     TSINCE (MIN)           A (KM)          ECC (-)        INC (DEG)       RAAN (DEG)      OMEGA (DEG)   TRUE ANOM(DEG)


     25932.2948358    12960.0000000     6792.1625636        0.0013800       51.6260056       98.1194316       86.7675207      171.1818700
     25933.2948358    14400.0000000     6792.0725608        0.0004881       51.6257711       93.1686042      140.0695884      298.7345331
     25934.2948358    15840.0000000     6791.9977642        0.0013868       51.6255149       88.2176157       87.9938952      171.8209675
     25935.2948358    17280.0000000     6791.9161588        0.0004308       51.6253097       83.2666993      141.7142605      298.9850492
     25936.2948358    18720.0000000     6791.8539940        0.0013909       51.6250944       78.3156326       89.2343423      172.4902802
     25937.2948358    20160.0000000     6791.7821476        0.0003721       51.6249230       73.3646286      142.7621028      299.8771705
     25938.2948358    21600.0000000     6791.7335499        0.0013921       51.6247521       68.4134871       90.4883723      173.1903172
     25939.2948358    23040.0000000     6791.6728705        0.0003127       51.6246188       63.4623973      142.8081115      301.8158952
     25940.2948358    24480.0000000     6791.6387239        0.0013900       51.6244954       58.5111848       91.7547301      173.9223543
     25941.2948358    25920.0000000     6791.5906523        0.0002535       51.6244048       53.5600118      141.0734362      305.5800663
     25942.2948358    27360.0000000     6791.5717772        0.0013846       51.6243321       48.6087328       93.0312028      174.6886257
     25943.2948358    28800.0000000     6791.5377701        0.0001968       51.6242886       43.6574798      135.9322070      312.7955442
     25944.2948358    30240.0000000     6791.5349107        0.0013755       51.6242694       38.7061391       94.3143957      175.4925482
     25945.2948358    31680.0000000     6791.5164213        0.0001474       51.6242775       33.7548102      123.9155327      326.9312090
     25946.2948358    33120.0000000     6791.5302328        0.0013626       51.6243144       28.8034133       95.5994662      176.3389868
     25947.2948358    34560.0000000     6791.5286890        0.0001183       51.6243786       23.8520132      100.1506281      352.8598333
     25948.2948358    36000.0000000     6791.5597245        0.0013456       51.6244737       18.9005659       96.8797982      177.2345807
     25949.2948358    37440.0000000     6791.5765043        0.0001269       51.6245982       13.9491004       70.7465680       24.4723279
     25950.2948358    38880.0000000     6791.6252016        0.0013243       51.6247535        8.9976090       98.1465928      178.1881519
     25951.2948358    40320.0000000     6791.6616058        0.0001690       51.6249421        4.0460846       51.7165056       45.7555242
     25952.2640708    41715.6983712     6792.4633641        0.0003863       51.6276448      359.2402194       47.2079288       59.7180196


 1 25544U 98067A   20356.56194809 +.00001205  00000 0  29815-4 0 0999                                                                                                                                                                                                                                                                                                                                                                                                                                                            
 2 25544  51.6442 141.3370 0001552 148.1510 332.6182 15.4920733126106                                                                                                                                                                                                                                                                                                                                                                                                                                                            

     25923.5619481        0.0000000     6794.8445196        0.0008979       51.6347279      141.3146385       76.4108702       44.4109429
     25924.5619481     1440.0000000     6794.9770945        0.0010949       51.6351899      136.3643933      115.7047007      185.8668340
     25925.5619481     2880.0000000     6795.1389621        0.0009214       51.6357735      131.4140696       78.1390758       44.3655851
     25926.5619481     4320.0000000     6795.2787361        0.0010337       51.6362629      126.4638024      116.9841279      186.2921671
     25927.5619481     5760.0000000     6795.4514331        0.0009453       51.6368791      121.5134657       79.8938333       44.3415317
     25928.5619481     7200.0000000     6795.5981453        0.0009686       51.6373951      116.5631806      118.1124594      186.9161904
     25929.5619481     8640.0000000     6795.7814390        0.0009693       51.6380431      111.6128360       81.6801595       44.3337774
     25930.5619481    10080.0000000     6795.9347375        0.0008996       51.6385845      106.6625375      119.0305516      187.7980508
     25931.5619481    11520.0000000     6796.1282645        0.0009936       51.6392632      101.7121900       83.5027076       44.3376786
     25932.5619481    12960.0000000     6796.2877011        0.0008273       51.6398284       96.7618824      119.6554903      189.0206674
     25933.5619481    14400.0000000     6796.4909541        0.0010179       51.6405360       91.8115374       85.3656228       44.3490974
     25934.5619481    15840.0000000     6796.6559797        0.0007521       51.6411233       86.8612249      119.8677116      190.7036116
     25935.5619481    17280.0000000     6796.8682963        0.0010422       51.6418577       81.9108878       87.2724148       44.3645292
     25936.5619481    18720.0000000     6797.0382570        0.0006748       51.6424647       76.9605748      119.4897073      193.0244011
     25937.5619481    20160.0000000     6797.2588078        0.0010662       51.6432233       72.0102508       89.2258494       44.3812112
     25938.5619481    21600.0000000     6797.4329420        0.0005965       51.6438473       67.0599415      118.2503963      196.2541285
     25939.5619481    23040.0000000     6797.6607205        0.0010899       51.6446268       62.1096358       91.2278600       44.3972109
     25940.5619481    24480.0000000     6797.8381565        0.0005188       51.6452647       57.1593341      115.7266260      200.8159602
     25941.5619481    25920.0000000     6798.0719706        0.0011130       51.6460614       52.2090520       93.2794785       44.4114954
     25942.5619481    27360.0000000     6798.2517260        0.0004444       51.6467096       47.2587616      111.2575929      207.3707158
     25943.5619481    28800.0000000     6798.4901907        0.0011351       51.6475193       42.3085080       95.3807818       44.4239852
     25944.5619481    30240.0000000     6798.6711723        0.0003779       51.6481739       37.3582324      103.8763447      216.8853659
     25945.5619481    31680.0000000     6798.9127058        0.0011561       51.6489916       32.4080117       97.5308503       44.4355955
     25946.5619481    33120.0000000     6799.0937110        0.0003267       51.6496481       27.4577539       92.5194318      230.4233802
     25947.5619481    34560.0000000     6799.3365331        0.0011756       51.6504682       22.5075704       99.7277310       44.4482737
     25948.5619481    36000.0000000     6799.5162525        0.0003013       51.6511220       17.5573330       77.1783638      247.9932716
     25949.5619481    37440.0000000     6799.7583866        0.0011932       51.6519384       12.6071903      101.9683992       44.4650377
     25950.5619481    38880.0000000     6799.9354084        0.0003098       51.6525841        7.6569752       60.5894972      266.8587082
     25951.5619481    40320.0000000     6800.1746874        0.0012086       51.6533901        2.7068763      104.2487086       44.4900258
     25952.2640708    41331.0567024     6792.4918034        0.0003952       51.6278116      359.2390179       48.1614332       59.1908637


 1 25544U 98067A   20356.69103463 +.00001326  00000 0  31994-4 0 0999                                                                                                                                                                                                                                                                                                                                                                                                                                                            
